date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:22	107636/107636	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Jan%202019%2009:58:51%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/main/index.html	(from )
18:06:24	32/32	---M--	200	added ('OK')	text/plain	date:Sat,%2020%20Oct%202018%2006:51:34%20GMT	https://wrappixel.com/robots.txt		(from )
18:06:25	1389/1389	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Dec%202018%2011:02:23%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/assets/images/favicon.png	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/assets/images/favicon.png	(from https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html)
18:06:27	11508/11508	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2011:02:23%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/chartist-js/dist/chartist.min.css	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/chartist-js/dist/chartist.min.css	(from https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html)
18:06:27	153182/153182	---M--	200	added ('OK')	text/css	date:Sat,%2005%20Jan%202019%2009:58:51%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html)
18:06:28	2571/2571	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2011:02:23%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/chartist-js/dist/chartist-init.css	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/chartist-js/dist/chartist-init.css	(from https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html)
18:06:29	795/795	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2011:02:23%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	(from https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html)
18:06:30	39362/39362	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2011:02:23%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/css-chart/css-chart.css	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/css-chart/css-chart.css	(from https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html)
18:06:31	4910/4910	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2011:02:23%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/toast-master/css/jquery.toast.css	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/assets/plugins/toast-master/css/jquery.toast.css	(from https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html)
18:06:34	3905/3905	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2011:02:23%20GMT	https://wrappixel.com/demos/admin-templates/monster-admin/main/css/colors/blue.css	C:/My%20Web%20Sites/MonstarAdmin/monstaradmin/wrappixel.com/demos/admin-templates/monster-admin/main/css/colors/blue.css	(from https://wrappixel.com/demos/admin-templates/monster-admin/main/index.html)
